"filename", "language", "JSON", "Ignore", "JavaScript", "Environment Variables", "Markdown", "TypeScript", "Batch", "JSON with Comments", "Properties", "comment", "blank", "total"
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\FetchClient.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\HttpClient.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\Interceptors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\test\httpClient.test.ts", "TypeScript", 0, 0, 0, 0, 0, -1, 0, 0, 0, 5, 1, 5
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\package-lock.json", "JSON", 1558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1559
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\code_of_conduct.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 35, 128
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\index.ts", "TypeScript", 0, 0, 0, 0, 0, 84, 0, 0, 0, 5, 14, 103
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\package-lock.json", "JSON", 1889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1890
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\2024-06-08-01-create-users-table.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 4, 45
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 7, 30
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\migrations.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 4, 24
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\models\user.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 5, 24
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 10, 0, 91, 9, 110
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\utilities\code_of_conduct.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 35, 128
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\utilities\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\code_of_conduct.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 35, 128
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\example.env", "Environment Variables", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\package-lock.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\start_script.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 3713, 5, 8, 4, 651, 164, 0, 10, 0, 166, 316, 5037
